update sp0_mean_age sp0_mean_fitness sp0_max_fitness sp1_mean_age sp1_mean_fitness sp1_max_fitness sp2_mean_age sp2_mean_fitness sp2_max_fitness sp3_mean_age sp3_mean_fitness sp3_max_fitness sp4_mean_age sp4_mean_fitness sp4_max_fitness sp5_mean_age sp5_mean_fitness sp5_max_fitness sp6_mean_age sp6_mean_fitness sp6_max_fitness sp7_mean_age sp7_mean_fitness sp7_max_fitness sp8_mean_age sp8_mean_fitness sp8_max_fitness sp9_mean_age sp9_mean_fitness sp9_max_fitness
58 1.0875 -145.4609 2593.3770 8.6667 -1696.5781 -832.9748 12.1538 -1918.9373 -844.5799 20.5833 -2112.7146 707.0872 30.2000 -2167.5697 -213.0615 50.3500 -3010.0323 -1191.4922 84.4118 -3289.3573 -1833.6711 136.7000 -4051.1449 -2063.2153 211.3077 -4174.5918 -2839.3736 465.9250 -4952.9426 -3054.6647
59 1.2895 -119.9098 1840.8351 8.1667 -1534.9270 -230.2268 13.0556 -1944.2321 -844.5799 21.7353 -2300.5631 707.0872 31.4146 -2214.4253 16.0917 50.0811 -3080.4388 -1191.4922 82.2703 -3306.2436 -1838.0208 135.7297 -4004.7560 -1833.6711 215.1000 -4230.3392 -2839.3736 477.7250 -5032.6821 -3054.6647
60 0.9178 142.3072 1967.3979 8.6250 -1938.8363 -230.2268 12.7778 -1969.7109 -832.9748 20.8929 -2151.8026 707.0872 32.4250 -2384.4296 16.0917 50.5385 -3002.2156 -1191.4922 85.1250 -3249.3881 -1838.0208 137.2162 -3977.5494 -1833.6711 215.1750 -4325.2933 -2839.3736 500.8750 -5064.3686 -3423.1405
61 0.8421 -78.7481 1952.4219 7.5000 -1597.0187 -230.2268 13.0500 -1987.7866 -832.9748 20.3793 -2190.7703 -844.5799 31.5000 -2256.7450 707.0872 50.0750 -3026.2630 -1191.4922 88.7500 -3334.2600 -2097.2812 137.9167 -3907.4932 -1833.6711 219.0500 -4518.1151 -3179.6005 515.4750 -5158.7941 -3631.8227
62 1.0253 -112.4387 2220.2924 8.5000 -1757.4379 -303.0615 13.8571 -1842.1696 -230.2268 19.8529 -2094.9213 -844.5799 32.1000 -2323.1005 707.0872 50.6250 -2944.6546 -1693.3921 89.9250 -3437.1427 -2097.2812 140.1750 -3897.8035 -1833.6711 224.2250 -4533.3674 -3040.5244 525.4750 -5140.6716 -3631.8227
63 1.0385 -92.8621 2024.0574 8.6000 -1491.9259 -303.0615 12.4444 -1757.3828 -230.2268 19.9750 -2076.6217 -844.5799 32.0769 -2152.0556 707.0872 49.8974 -3024.7290 -572.0204 83.2917 -3119.3501 -2097.2812 145.5250 -3982.0349 -1833.6711 226.5500 -4598.2424 -3040.5244 544.3250 -5162.0459 -4386.7737
64 1.0641 -151.9831 2156.6945 7.0000 -1948.0341 -1948.0341 12.0769 -1616.0399 -230.2268 20.4375 -2016.7388 -844.5799 30.7692 -2324.1358 707.0872 52.3000 -3108.6898 -572.0204 84.0417 -3085.7143 -1481.4733 145.4571 -3876.4284 -1833.6711 231.4250 -4647.9191 -3040.5244 552.9750 -5185.7688 -4386.7737
65 1.1818 44.8114 2308.8760 8.2000 -2015.2874 -1948.0341 12.8333 -1489.5416 -230.2268 21.3125 -2033.3439 -844.5799 30.1622 -2230.4375 707.0872 50.9091 -2956.8358 -1713.1656 80.2750 -3415.4357 -1481.4733 145.7576 -3864.6562 -1833.6711 241.3000 -4616.2157 -3040.5244 560.7750 -5160.5101 -4208.1055
66 0.6667 -84.8229 1622.7210 7.6667 -1646.6684 650.0473 12.1667 -1556.8436 -230.2268 20.0769 -1920.2804 -832.9748 30.8750 -2228.6794 707.0872 51.2368 -2927.1114 -891.3011 86.5789 -3432.0726 -1481.4733 140.9333 -3755.5524 -1833.6711 218.7500 -4385.7180 -3139.3903 569.0500 -5175.0573 -4208.1055
67 0.9750 -136.3182 1754.6834 8.2500 -977.3137 650.0473 12.4375 -1615.7008 -101.8756 20.2800 -1832.6230 -832.9748 33.2500 -2316.6815 707.0872 51.7429 -2996.0602 -891.3011 83.6923 -3028.1522 -1481.4733 129.5000 -3769.5487 -1833.6711 212.2250 -4287.8623 -3139.3903 581.2250 -5169.9040 -3987.2910
